FY,Customer,Breakout,Category,Amount
2003,Army,ICT,Services,2833840243.0
2003,Army,Launchers & Munitions,Products,3134710445.0
2003,Army,MED,Services,1217231795.0
2003,Army,Missiles & Space,Products,2571421368.0
2003,Army,Other,Products,3849036138.0
2003,Army,PAMS,Services,14640028864.0
2003,Army,Adv. Component Dev. & Prototypes (6.4),R&D,2140287234.0
2003,Army,Adv. Technology Dev. (6.3),R&D,2764855930.0
2003,Army,Applied Research (6.2),R&D,1138434697.0
2003,Army,Basic Research (6.1),R&D,2291329843.0
2003,Army,Operation of Government R&D Facilities,R&D,17794215.0
2003,Army,Operational Systems Dev. (6.7),R&D,266969770.0
2003,Army,System Dev. & Demonstration (6.5),R&D,838728696.0
2003,Army,Ships,Products,161085114.0
2003,DLA,Aircraft,Products,953984099.0
2003,DLA,Clothing & Subsistence,Products,7915910173.0
2003,DLA,Electronics & Communications,Products,1177903751.0
2003,DLA,Engines & Power Plants,Products,986124845.0
2003,DLA,ERS,Services,83136441.0
2003,DLA,FRS&C,Services,336711098.0
2003,DLA,Fuels,Products,7377661169.0
2003,DLA,Ground Vehicles,Products,391472415.0
2003,DLA,ICT,Services,403781795.0
2003,DLA,Launchers & Munitions,Products,85924331.0
2003,DLA,MED,Services,1099508.0
2003,DLA,Missiles & Space,Products,35068918.0
2003,DLA,Other,Products,2880154353.0
2003,DLA,PAMS,Services,451806113.0
2003,DLA,Applied Research (6.2),R&D,9697995.0
2003,DLA,Basic Research (6.1),R&D,124184138.0
2003,DLA,System Dev. & Demonstration (6.5),R&D,21017068.0
2003,DLA,Ships,Products,52518152.0
2003,MDA,Clothing & Subsistence,Products,7954.0
2003,MDA,Electronics & Communications,Products,828817.0
2003,MDA,ERS,Services,256403.0
2003,MDA,FRS&C,Services,4893169.0
2003,MDA,Ground Vehicles,Products,20714.0
2003,MDA,ICT,Services,31850146.0
2003,MDA,Missiles & Space,Products,2649470237.0
2003,MDA,Other,Products,12252.0
2003,MDA,PAMS,Services,66568738.0
