"","FY","Customer","Breakout","Amount","Category"
"449",2000,"Navy","Basic Research (6.1)",602767803,"R&D"
"450",2000,"Navy","ERS",2004436770,"Services"
"451",2000,"Navy","Electronics & Communications",156561436,"Products"
"452",2000,"Navy","PAMS",1042318836,"Services"
"453",2000,"Navy","Operation of Government R&D Facilities",770727748,"R&D"
"454",2000,"Navy","ICT",48485,"Services"
"455",2000,"Navy","Adv. Technology Dev. (6.3)",4754587,"R&D"
"456",2000,"Navy","Applied Research (6.2)",27704812,"R&D"
"457",2000,"Other DoD","ICT",3547624,"Services"
"458",2000,"Other DoD","Electronics & Communications",691968062,"Products"
"459",2000,"Other DoD","Adv. Technology Dev. (6.3)",5180960,"R&D"
"460",2000,"Other DoD","Basic Research (6.1)",277440,"R&D"
"461",2000,"Other DoD","Missiles & Space",9073710,"Products"
"462",2000,"Other DoD","Basic Research (6.1)",760697,"R&D"
"463",2001,"Air Force","Launchers & Munitions",40860262,"Products"
"464",2001,"Air Force","System Dev. & Demonstration (6.5)",1326525113,"R&D"
"465",2001,"Air Force","Ground Vehicles",29524566,"Products"
"466",2001,"Air Force","Ground Vehicles",176872,"Products"
"467",2001,"Air Force","Launchers & Munitions",34934664,"Products"
"468",2001,"Air Force","Missiles & Space",1008178035,"Products"
"469",2001,"Air Force","System Dev. & Demonstration (6.5)",1915411178,"R&D"
"470",2001,"Air Force","PAMS",2981427566,"Services"
"471",2001,"Air Force","Engines & Power Plants",8086393,"Products"
"472",2001,"Air Force","Basic Research (6.1)",16950659,"R&D"
"473",2001,"Army","Electronics & Communications",253127985,"Products"
"474",2001,"Army","Clothing & Subsistence",332933,"Products"
